Date,Close/Last,Volume,Open,High,Low
09/20/2019,50.06,27396,50.75,50.76,49.7035
09/19/2019,50.78,27384,50.84,51.3008,50.7201
09/18/2019,50.86,58405,51.21,51.25,50.23
09/17/2019,51.46,25025,51.07,51.46,51.045
09/16/2019,51.12,43078,50.78,51.25,50.60
09/13/2019,51.22,28678,51.37,51.48,50.9901
09/12/2019,51.43,47638,51.70,51.99,51.38
09/11/2019,51.33,46286,50.69,51.4423,50.54
09/10/2019,50.56,36073,50.21,50.665,49.8057
09/09/2019,50.45,48413,50.95,51.10,50.05
09/06/2019,50.75,44373,51.19,51.2288,50.72
09/05/2019,51.053,118635,50.30,51.0841,50.30
09/04/2019,49.73,104945,49.67,49.96,49.67
09/03/2019,49.29,198978,49.47,50.1079,49.12
08/30/2019,49.86,64895,50.30,50.52,49.49
08/29/2019,49.94,38013,49.38,50.1331,49.38
08/28/2019,48.72,41291,48.64,48.99,48.25
08/27/2019,48.85,52317,49.43,49.6699,48.41
08/26/2019,49.18,34184,49.20,49.26,48.8243
08/23/2019,48.66,52123,49.80,50.43,48.58
08/22/2019,50.19,41810,50.57,50.69,49.69
08/21/2019,50.58,75991,50.35,50.8142,50.31
08/20/2019,49.91,36463,49.82,50.1619,49.70
08/19/2019,49.97,143549,49.67,50.02,49.50
08/16/2019,48.93,153137,48.29,49.00,48.29
08/15/2019,47.74,100467,48.14,48.25,47.42
08/14/2019,47.89,93763,48.85,48.85,47.59
08/13/2019,49.96,62952,49.03,50.18,48.88
08/12/2019,49.03,46629,49.63,49.63,48.9178
08/09/2019,50.12,35684,50.56,50.8199,49.9254
08/08/2019,50.847,42939,50.00,50.847,49.68
08/07/2019,49.68,39194,48.39,49.68,48.39
08/06/2019,48.92,75393,49.18,49.61,48.40
08/05/2019,48.52,141950,49.19,49.19,48.0599
08/02/2019,50.68,75158,51.25,51.3139,50.18
08/01/2019,51.99,49375,52.34,53.3441,51.4448
07/31/2019,52.48,77832,53.00,53.1899,51.63
07/30/2019,53.66,61108,53.28,53.7983,53.00
07/29/2019,53.70,51418,53.96,54.12,52.96
07/26/2019,54.04,35439,53.75,54.1899,53.75
07/25/2019,53.32,54535,54.00,54.00,53.29
07/24/2019,54.81,42910,53.79,54.81,53.78
07/23/2019,54.00,56296,54.10,54.10,53.40
07/22/2019,53.81,36834,53.68,54.15,53.68
07/19/2019,53.60,45418,54.29,54.35,53.60
07/18/2019,53.99,35472,53.70,54.14,53.5757
07/17/2019,54.13,40779,54.11,54.5205,54.11
07/16/2019,54.02,28095,54.58,54.58,53.88
07/15/2019,54.54,51575,54.18,54.61,54.00
07/12/2019,54.17,100731,53.93,54.17,53.90
07/11/2019,53.76,41860,53.74,54.0505,53.585
07/10/2019,53.63,108142,53.75,54.1219,53.5025
07/09/2019,53.34,80363,52.09,53.3799,52.09
07/08/2019,52.35,35628,52.47,52.4835,52.1223
07/05/2019,52.75,78409,52.50,52.85,52.09
07/03/2019,52.85,29753,52.88,53.00,52.70
07/02/2019,52.42,52275,52.35,52.48,52.14
07/01/2019,52.48,133240,53.06,53.15,52.37
06/28/2019,52.01,49569,51.46,52.03,51.395
06/27/2019,51.37,40459,51.00,51.4499,50.84
06/26/2019,50.84,42720,50.69,51.33,50.69
06/25/2019,50.12,72921,51.27,51.47,50.09
06/24/2019,51.29,54481,51.58,51.8088,51.2501
06/21/2019,51.42,60370,51.72,51.90,51.31
06/20/2019,51.83,75028,52.00,52.425,51.40
06/19/2019,51.49,32770,51.13,51.49,50.83
06/18/2019,51.04,71862,51.00,51.7324,51.00
06/17/2019,50.42,104077,49.60,50.5999,49.55
